Date.and.Time..UTC.,Receiver,Transmitter,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Transmitter.Name,Transmitter.Serial
2018/11/25 12:33,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/25 12:47,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/25 13:10,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/25 13:43,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/25 13:55,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/25 16:11,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/27 05:35,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:36,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:37,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:38,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:39,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:40,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:44,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:45,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:46,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:48,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:50,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:51,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:53,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:54,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:56,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:57,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 05:59,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 06:01,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 06:01,Mamoli 1,14670,NA,NA,Mamoli 1,-26.713361,32.910833,14670,Blacktip
2018/11/27 10:55,Techobanine 3,14670,NA,NA,Techobanine 3,-26.649167,32.915139,14670,Blacktip
2018/11/27 10:56,Techobanine 3,14670,NA,NA,Techobanine 3,-26.649167,32.915139,14670,Blacktip
2018/11/27 10:58,Techobanine 3,14670,NA,NA,Techobanine 3,-26.649167,32.915139,14670,Blacktip
2018/11/27 11:00,Techobanine 3,14670,NA,NA,Techobanine 3,-26.649167,32.915139,14670,Blacktip
2018/11/27 11:00,Techobanine 3,14670,NA,NA,Techobanine 3,-26.649167,32.915139,14670,Blacktip
2018/11/27 17:24,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/27 17:26,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/27 18:29,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/27 18:34,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/27 18:37,Red_Sands_1,14684,NA,NA,Red_Sands_1,-27.798471,32.620427,14684,Blacktip
2018/11/27 20:34,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/27 20:36,Red_Sands_2,14684,NA,NA,Red_Sands_2,-27.798593,32.629552,14684,Blacktip
2018/11/29 04:11,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 04:44,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 04:52,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:02,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:03,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:10,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:16,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:20,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:28,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:30,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:41,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 05:42,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 06:43,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 06:53,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 06:54,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 07:05,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 07:12,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 07:17,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 07:18,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 07:32,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 07:51,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 08:04,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 08:38,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 08:58,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:05,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:31,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:37,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:39,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:43,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:45,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:48,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 09:49,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 11:46,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 21:22,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 22:16,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 22:46,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 22:52,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 22:53,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 22:56,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 22:59,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 23:02,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 23:04,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 23:08,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 23:21,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/29 23:28,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:02,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:10,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:12,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:27,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:33,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:35,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:42,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:43,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 01:44,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 03:26,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:25,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:27,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:30,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:34,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:36,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:38,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:40,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:47,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:53,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:55,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:56,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 05:58,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:00,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:01,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:07,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:09,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:11,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:12,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:15,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:15,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:16,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:17,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:18,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:20,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:21,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:23,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:24,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:25,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:26,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:28,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:28,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:31,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:33,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:34,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:35,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:36,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:37,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:39,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:42,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:43,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:44,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:45,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:46,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:48,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:54,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:55,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 06:59,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:00,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:01,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:03,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:06,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:08,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:09,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:11,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:13,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
2018/11/30 07:17,Leven,14684,NA,NA,Leven,-27.912117,32.598567,14684,Blacktip
